nu*k**2 sigma
1e-08 0.977650256471638
1.1233240329780265e-08 0.9778294042123056
1.261856883066021e-08 0.9780295721431723
1.4174741629268047e-08 0.9782530917762277
1.592282793341094e-08 0.9794892145364167
1.7886495290574353e-08 0.9797769699651077
2.009233002565046e-08 0.9800974104433474
2.2570197196339216e-08 0.9804539186230682
2.5353644939701113e-08 0.9808501554116018
2.848035868435799e-08 0.9812900683363233
3.1992671377973846e-08 0.9827695272065231
3.593813663804626e-08 0.9833252194070411
4.037017258596558e-08 0.9839392764395423
4.534878508128582e-08 0.9846168137121418
5.094138014816375e-08 0.9863599353026635
5.72236765935022e-08 0.9871996722380862
6.42807311728432e-08 0.9881206305375237
7.220809018385457e-08 0.9901248043649934
8.111308307896873e-08 0.9912464391782554
9.111627561154887e-08 0.9924682959312877
1.0235310218990269e-07 0.9947961207277813
1.1497569953977356e-07 0.9962573118614961
1.2915496650148827e-07 0.9978381927824589
1.45082877849594e-07 1.0005463911543802
1.6297508346206436e-07 1.0024043464987145
1.8307382802953697e-07 1.0044018124020127
2.0565123083486514e-07 1.006545765059683
2.310129700083158e-07 1.0098544203892088
2.5950242113997374e-07 1.0123272323310786
2.915053062825176e-07 1.0149681301307623
3.2745491628777317e-07 1.017785099520311
3.678379771828634e-07 1.0207864850114474
4.1320124001153343e-07 1.0239810235775058
4.641588833612782e-07 1.0273778767023318
5.214008287999684e-07 1.0320197825308095
5.857020818056673e-07 1.0358585643914402
6.579332246575682e-07 1.039929337993869
7.390722033525775e-07 1.044243266240944
8.302175681319736e-07 1.0488120590168222
9.326033468832199e-07 1.0536479860632324
1.0476157527896663e-06 1.0587638860588187
1.1768119524349991e-06 1.0641731716084115
1.3219411484660288e-06 1.0698898297749009
1.4849682622544636e-06 1.0759284176937707
1.6681005372000591e-06 1.0823040527012298
1.873817422860383e-06 1.0890323962820272
2.104904144512022e-06 1.095035304949866
2.364489412645407e-06 1.102515480196468
2.656087782946684e-06 1.1103985735204185
2.9836472402833405e-06 1.1187020800918974
3.3516026509388406e-06 1.1274438328567467
3.764935806792471e-06 1.136641925719278
4.229242874389499e-06 1.1463146207676085
4.750810162102793e-06 1.156480237197887
5.336699231206302e-06 1.1671570192676266
5.994842503189409e-06 1.1783629802436284
6.7341506577508285e-06 1.1889328702564481
7.564633275546291e-06 1.201247931702216
8.497534359086437e-06 1.2141428660531715
9.545484566618328e-06 1.2276325736597153
1.072267222010323e-05 1.2417304463715584
1.2045035402587836e-05 1.2564479778122897
1.3530477745798076e-05 1.270525846719816
1.5199110829529332e-05 1.286505738154504
1.7073526474706886e-05 1.3031235035822448
1.917910261672489e-05 1.3203778733417504
2.1544346900318867e-05 1.3382627547897656
2.4201282647943835e-05 1.3567664422056855
2.71858824273294e-05 1.37450618924689
3.053855508833412e-05 1.394183379133465
3.4304692863149194e-05 1.4144019495253513
3.8535285937105275e-05 1.4351193993237312
4.328761281083062e-05 1.456283763882379
4.8626015800653536e-05 1.4763598936049076
5.462277217684337e-05 1.498219093365327
6.135907273413163e-05 1.5203103347192224
6.892612104349695e-05 1.5425438738340387
7.742636826811278e-05 1.5648226543166428
8.697490026177834e-05 1.5870440957225675
9.770099572992247e-05 1.6091023002028835
0.00010974987654930568 1.629274088510171
0.0001232846739442066 1.6506793650811167
0.00013848863713938718 1.671608893594294
0.00015556761439304722 1.691969806285997
0.0001747528400007683 1.7116789056621227
0.00019630406500402724 1.730664623761074
0.00022051307399030456 1.7488684910610235
0.0002477076355991709 1.7662460675029363
0.0002782559402207126 1.7827673314624253
0.00031257158496882353 1.7984165616682186
0.0003511191734215127 1.8131917782898024
0.0003944206059437656 1.8271038305958383
0.00044306214575838776 1.8401752292650317
0.0004977023564332114 1.8542918398043873
0.0005590810182512223 1.8658267578727652
0.0006280291441834246 1.8766496458385058
0.0007054802310718645 1.8868167413685593
0.0007924828983539169 1.8983166833200373
0.0008902150854450393 1.9074201707349758
0.001 1.9180300111870594
