nu*k**2 sigma
1e-08 0.9751904177888603
1.1233240329780265e-08 0.9751904579956882
1.261856883066021e-08 0.9751905031609305
1.4174741629268047e-08 0.9751905538960651
1.592282793341094e-08 0.9751906108879749
1.7886495290574353e-08 0.9751906749082486
2.009233002565046e-08 0.9751907468236234
2.2570197196339216e-08 0.9751908276077191
2.5353644939701113e-08 0.9751909183542189
2.848035868435799e-08 0.9751910202916674
3.1992671377973846e-08 0.9751911348001067
3.593813663804626e-08 0.9751912634297505
4.037017258596558e-08 0.9751914079219686
4.534878508128582e-08 0.9751915702328537
5.094138014816375e-08 0.9751917525596913
5.72236765935022e-08 0.9751919573707006
6.42807311728432e-08 0.9751921874384305
7.220809018385457e-08 0.9751924458772738
8.111308307896873e-08 0.9751927361856095
9.111627561154887e-08 0.9751930622931261
1.0235310218990269e-07 0.9751934286139885
1.1497569953977356e-07 0.9751938401065388
1.2915496650148827e-07 0.97519430234036
1.45082877849594e-07 0.97519482157159
1.6297508346206436e-07 0.9751954048275149
1.8307382802953697e-07 0.9751960600015616
2.0565123083486514e-07 0.9751967959599915
2.310129700083158e-07 0.9751976226617123
2.5950242113997374e-07 0.9751985512928238
2.915053062825176e-07 0.9751995944177
3.2745491628777317e-07 0.9752007661486461
3.678379771828634e-07 0.9752020823363837
4.1320124001153343e-07 0.9752035607839222
4.641588833612782e-07 0.9752052214866771
5.214008287999684e-07 0.9752070869020271
5.857020818056673e-07 0.9752091822518952
6.579332246575682e-07 0.9752115358623871
7.390722033525775e-07 0.9752141795449649
8.302175681319736e-07 0.9752171490242058
9.326033468832199e-07 0.9752204844177689
1.0476157527896663e-06 0.9752242307748835
1.1768119524349991e-06 0.9752284386803756
1.3219411484660288e-06 0.9752331649321152
1.4849682622544636e-06 0.9752384733006507
1.6681005372000591e-06 0.975244435380811
1.873817422860383e-06 0.9752511315461738
2.104904144512022e-06 0.9762341864292574
2.364489412645407e-06 0.9762429829258124
2.656087782946684e-06 0.9762528615714223
2.9836472402833405e-06 0.9762639551257024
3.3516026509388406e-06 0.9762764125402403
3.764935806792471e-06 0.9762904009088653
4.229242874389499e-06 0.9763061076464943
4.750810162102793e-06 0.9763237429217592
5.336699231206302e-06 0.976343542370925
5.994842503189409e-06 0.9763657701231425
6.7341506577508285e-06 0.9763907221696067
7.564633275546291e-06 0.9764187301118238
8.497534359086437e-06 0.9764501653268267
9.545484566618328e-06 0.9764854435897288
1.072267222010323e-05 0.9765250301964477
1.2045035402587836e-05 0.9765694456316094
1.3530477745798076e-05 0.9766192718284642
1.5199110829529332e-05 0.9766751590689443
1.7073526474706886e-05 0.9767378335725955
1.917910261672489e-05 0.9768081058228485
2.1544346900318867e-05 0.97688687967768
2.4201282647943835e-05 0.976975162309014
2.71858824273294e-05 0.977074075010901
3.053855508833412e-05 0.9771848649104515
3.4304692863149194e-05 0.9773089176075058
3.8535285937105275e-05 0.9774477707589705
4.328761281083062e-05 0.9776031286117577
4.8626015800653536e-05 0.9777768774744221
5.462277217684337e-05 0.9779711021024009
6.135907273413163e-05 0.9781881029558617
6.892612104349695e-05 0.9794149108965782
7.742636826811278e-05 0.9796948283313198
8.697490026177834e-05 0.9800068546458852
9.770099572992247e-05 0.9803544146786659
0.00010974987654930568 0.9807412478764008
0.0001232846739442066 0.9811714287410449
0.00013848863713938718 0.9826395597735479
0.00015556761439304722 0.983186119231257
0.0001747528400007683 0.9837918272774009
0.00019630406500402724 0.9844623811584426
0.00022051307399030456 0.9862045794139758
0.0002477076355991709 0.9870449874994045
0.0002782559402207126 0.9879716393710016
0.00031257158496882353 0.9900035040004156
0.0003511191734215127 0.991151558804891
0.0003944206059437656 0.9934216135266368
0.00044306214575838776 0.9948321527141183
0.0004977023564332114 0.9973920079722312
0.0005590810182512223 0.9991115408755615
0.0006280291441834246 1.0020180444911684
0.0007054802310718645 1.005114884229141
0.0007924828983539169 1.0074162143229186
0.0008902150854450393 1.0109604015505729
0.001 1.0147542497579463
