nu*k**2 sigma
0.001 1e-06
0.0010722672220103231 1.1497569953977355e-06
0.0011497569953977356 1.3219411484660286e-06
0.0012328467394420659 1.519911082952933e-06
0.0013219411484660286 1.7475284000076827e-06
0.0014174741629268048 2.009233002565046e-06
0.0015199110829529332 2.310129700083158e-06
0.0016297508346206436 2.656087782946684e-06
0.001747528400007683 3.0538555088334123e-06
0.001873817422860383 3.5111917342151275e-06
0.002009233002565048 4.037017258596558e-06
0.0021544346900318843 4.641588833612781e-06
0.0023101297000831605 5.336699231206313e-06
0.0024770763559917113 6.1359072734131755e-06
0.0026560877829466868 7.0548023107186455e-06
0.002848035868435802 8.111308307896873e-06
0.0030538555088334154 9.326033468832198e-06
0.0032745491628777285 1.0722672220103232e-05
0.003511191734215131 1.2328467394420658e-05
0.0037649358067924675 1.4174741629268048e-05
0.004037017258596553 1.629750834620643e-05
0.004328761281083057 1.8738174228603833e-05
0.004641588833612782 2.154434690031887e-05
0.004977023564332114 2.477076355991714e-05
0.005336699231206312 2.8480358684358045e-05
0.00572236765935022 3.274549162877732e-05
0.006135907273413176 3.7649358067924715e-05
0.006579332246575682 4.328761281083061e-05
0.007054802310718645 4.977023564332113e-05
0.007564633275546291 5.722367659350221e-05
0.008111308307896872 6.579332246575683e-05
0.008697490026177835 7.564633275546291e-05
0.0093260334688322 8.697490026177836e-05
0.01 0.0001
0.010722672220103232 0.00011497569953977356
0.011497569953977356 0.00013219411484660288
0.012328467394420659 0.0001519911082952933
0.013219411484660293 0.00017475284000076846
0.014174741629268055 0.0002009233002565048
0.01519911082952934 0.00023101297000831605
0.016297508346206444 0.0002656087782946687
0.01747528400007684 0.0003053855508833415
0.01873817422860384 0.00035111917342151315
0.02009233002565047 0.0004037017258596554
0.021544346900318846 0.0004641588833612783
0.023101297000831605 0.0005336699231206313
0.024770763559917114 0.0006135907273413176
0.026560877829466867 0.0007054802310718645
0.02848035868435802 0.0008111308307896872
0.030538555088334154 0.0009326033468832199
0.03274549162877728 0.0010722672220103231
0.03511191734215131 0.0012328467394420656
0.037649358067924674 0.0014174741629268048
0.04037017258596556 0.0016297508346206449
0.04328761281083059 0.0018738174228603848
0.046415888336127795 0.0021544346900318843
0.049770235643321115 0.0024770763559917117
0.0533669923120631 0.002848035868435802
0.05722367659350217 0.0032745491628777285
0.06135907273413173 0.0037649358067924675
0.06579332246575682 0.004328761281083062
0.07054802310718646 0.004977023564332114
0.07564633275546291 0.005722367659350221
0.08111308307896872 0.006579332246575682
0.08697490026177834 0.00756463327554629
0.093260334688322 0.008697490026177835
0.1 0.010000000000000002
0.10722672220103231 0.011497569953977356
0.11497569953977356 0.013219411484660286
0.12328467394420659 0.01519911082952933
0.13219411484660287 0.01747528400007683
0.14174741629268048 0.02009233002565046
0.1519911082952933 0.023101297000831578
0.16297508346206452 0.026560877829466895
0.1747528400007685 0.030538555088334193
0.1873817422860385 0.03511191734215134
0.2009233002565048 0.04037017258596558
0.21544346900318845 0.04641588833612782
0.23101297000831605 0.053366992312063134
0.24770763559917114 0.061359072734131756
0.26560877829466867 0.07054802310718646
0.2848035868435802 0.08111308307896874
0.30538555088334157 0.09326033468832201
0.32745491628777285 0.10722672220103233
0.3511191734215131 0.1232846739442066
0.37649358067924676 0.1417474162926805
0.40370172585965536 0.16297508346206432
0.4328761281083057 0.18738174228603832
0.4641588833612782 0.21544346900318867
0.49770235643321137 0.24770763559917136
0.5336699231206312 0.2848035868435804
0.572236765935022 0.3274549162877732
0.6135907273413176 0.37649358067924715
0.6579332246575682 0.4328761281083061
0.7054802310718645 0.49770235643321137
0.7564633275546291 0.572236765935022
0.8111308307896873 0.6579332246575683
0.8697490026177834 0.7564633275546291
0.9326033468832199 0.8697490026177833
1.0 1.0
